"","id","o1","o2","o3","o5","o10","o12"
"1","Z001",100.1,81.1,65.5,90.4,33.4,14.5
"2","Z002",111.4,94.5,82.2,110.2,38.6,16.6
"3","Z003",100.3,85.3,65.5,95.9,33.4,15.2
"4","Z004",107.2,98.2,69.7,94.9,37.7,16.2
"5","Z005",101.5,91,75,103,40,16
"6","Z006",98.5,80.8,67.5,85.8,33,14
"7","Z007",99.8,88.2,72.9,102.2,33.5,15.1
"8","Z008",111,104.2,93.4,109.8,38.6,17.3
"9","Z009",93.9,81.6,58.8,89.3,32.4,14.8
"10","Z010",112.2,94.5,83.6,104.1,35.2,16.1
"11","Z011",105.1,94.3,77.5,101.1,34.6,14.7
"12","Z012",109.1,92.4,71.1,98.2,36.6,15.6
"13","Z013",100.1,92.8,75.7,102.6,38,15.3
"14","Z014",92,82.5,69.8,100.2,33.1,14.2
"15","Z015",95.2,81.3,57.9,84.1,33,14
"16","Z016",95.1,84.7,70.5,94.1,33.5,14.6
"17","Z017",110.7,95,83.4,107.5,41.2,15.6
"18","Z018",98.2,82,64.1,96,35,14.8
"19","Z019",96.3,82.1,64,98.1,34,14.6
"20","Z020",95.1,80,63,90,33.7,15.2
"21","Z021",99.5,86.4,69.1,95.4,34.6,16.6
"22","Z022",103.4,88.4,78,112.1,39.8,14.4
"23","Z023",102.3,89.5,70,98.9,36.6,16.4
"24","Z024",99.8,80.6,64.3,93,35.5,15.5
"25","Z025",104,90,75,99,36.5,15.9
"26","Z026",99.4,85.4,67.4,90.3,29.5,13.7
"27","Z027",95.9,81.3,64.5,91.9,32.7,14.6
"28","Z028",90,72.6,58.5,84.3,32,13.1
"29","Z029",106.1,91.2,74.2,102.6,41.9,15.4
"30","Z030",90,79,59,88.5,29.6,14.5
"31","Z031",99.1,82.2,62.3,83.9,32.5,14.8
"32","Z032",96.3,88,75.4,101.3,34.3,14.8
"33","Z033",96.2,83.8,70.2,94.2,30.9,14.5
"34","Z034",110.3,95.3,79.4,102.7,36.3,15.5
"35","Z035",105.1,86,66.1,91.8,33,14.9
"36","Z036",104.8,84.5,68.8,94.8,35.2,14.6
"37","Z037",115.5,98.8,90.5,108.1,35.8,16.3
"38","Z038",92.4,80.4,64.5,88.4,32.7,14.9
"39","Z039",96.8,80.2,67.2,95.5,35.4,15.6
"40","Z040",97.4,82.2,61.7,80.7,33.8,14.6
"41","Z041",106.5,89.6,71.6,95,35.8,14.6
"42","Z042",97.7,87.2,64.9,92.2,35.4,15.5
"43","Z043",92,82,71,88.5,35,14
"44","Z044",129.5,108,101.5,114,45,18.2
"45","Z045",100.5,84.4,66.9,98.8,34.6,15.1
"46","Z046",104.5,89.5,75,104.9,36.6,15.1
"47","Z047",98.2,84,62.9,95.5,32.3,14.7
"48","Z048",101.4,89.6,72.6,93.7,38.4,15.6
"49","Z049",110.8,97.4,96.3,102.6,41.1,16.4
"50","Z050",105.6,91,75.5,98.6,35.4,14.6
"51","Z051",97.9,79,66.5,90.3,32.5,13.8
"52","Z052",97.4,85.2,69,86.7,33.3,15.3
"53","Z053",102.2,86.8,71.3,94,34.4,14.2
"54","Z054",103.9,88.2,72.1,106.7,35.6,14.7
"55","Z055",99.8,81.9,60.2,91.7,35.8,15.2
"56","Z056",94.6,83.3,65,91.6,31.5,14.1
"57","Z057",109,89.8,68.5,98.1,40.4,16.4
"58","Z058",99.7,90,73.7,101.2,33.3,14.9
"59","Z059",105,89.4,71.5,96,33.5,15.3
"60","Z060",104,95.4,86,112.1,37,15.8
"61","Z061",100.5,97.1,80.4,102.2,35.9,16.4
"62","Z062",103.1,82.9,67.6,90.2,33.8,14.8
"63","Z063",94.9,79.9,62.5,87.6,34.7,13.9
"64","Z064",99.2,80,67.2,91.2,34.2,14.2
"65","Z065",104.8,93.9,81,105.9,37.7,15.9
"66","Z066",101.4,85.3,69.5,94.7,37.1,14.9
"67","Z067",94.5,83.2,65,97.6,37.4,14.8
"68","Z068",97,86.5,78,99.5,36.7,15
"69","Z069",98.5,89.3,68.8,103.3,35,15.9
"70","Z070",93.1,85.3,69.5,90.6,30.8,14.1
"71","Z071",103.2,90.7,73.6,105.3,39.7,15.9
"72","Z072",108.2,90.7,75.3,103.6,35.8,16.3
"73","Z073",102.9,87.9,76.3,98.6,31.3,15.1
"74","Z074",99.5,78.5,61.5,90.5,38.5,15
"75","Z075",95.4,80.1,63.8,86.3,32.6,14
"76","Z076",105,86.2,77.9,100.1,34.5,14.9
"77","Z077",99.4,79.1,66,94.8,32.6,14.6
"78","Z078",97.2,83.5,71.2,96.5,32.1,15
"79","Z079",93.9,76.1,62,86.8,34.8,14.4
"80","Z080",102.2,80.5,69.5,95.2,34,15.2
"81","Z081",98.2,84.1,65.9,96.3,34,15.1
"82","Z082",117,99.5,78,103,36.7,16.2
"83","Z083",103.4,88.3,71,98.7,35.8,15.5
"84","Z084",101.4,87.3,66.9,90.6,33.9,15.5
"85","Z085",100.2,88.7,64.2,88.4,33.2,15
"86","Z086",99.1,82.2,63.8,97.6,35.5,15.4
"87","Z087",91.2,78.6,62.5,95.5,35.7,14.8
"88","Z088",109.5,91.5,76,103.5,37,15.8
"89","Z089",99,84.8,60.7,89.1,34.6,14.1
"90","Z090",95,86.4,67.4,98.4,37.4,14.4
"91","Z091",105.2,90,72.7,100.2,34.3,14.8
"92","Z092",99.3,86.2,67,96.7,33,15
"93","Z093",92.2,79.1,64.6,94.9,35.5,15
"94","Z094",110.7,92.2,70.3,100,37,16
"95","Z095",99.5,90.5,85.6,112.1,38,14.6
"96","Z096",94.5,86.5,68.3,94,32.5,14.6
"97","Z097",96.8,85.9,69.1,94.1,34.4,15
"98","Z098",98.7,82.2,65.8,89.1,35,14.8
"99","Z099",93.3,77,58,85.5,32,13.9
"100","Z100",101.3,85.5,67.3,97.6,35.6,14.6
"101","Z101",94.5,84.5,71,97.5,34.2,15
"102","Z102",95,83,66.5,92,32.2,13.5
"103","Z103",100.5,85,69.5,94.4,35.3,14.4
"104","Z104",95.9,80.9,60.8,84.6,33.1,15.4
"105","Z105",106.2,91.3,80,104.6,36,14.6
"106","Z106",93.7,79.3,63.2,85.8,31.3,14.7
"107","Z107",102.5,85.6,69.5,95.3,35.4,15.4
"108","Z108",105.5,85.8,65.8,89.3,36.2,15.8
"109","Z109",100,83.7,67.6,90.4,32.5,14.6
"110","Z110",108.9,98.9,83.6,108.3,36.4,16
"111","Z111",97.3,85,65.7,90.5,34.4,14.4
"112","Z112",98.1,86.6,70.1,97.6,32,15.3
"113","Z113",109.8,97.9,84.9,102.4,33.7,15.5
"114","Z114",98.4,85.8,71,92.7,34,13.8
"115","Z115",106.4,96.3,86.1,112,38.7,16.3
"116","Z116",98.3,88,72,95.5,31.9,15.4
"117","Z117",108.2,90,71.7,108.4,39.5,15.6
"118","Z118",108.4,91.8,69.9,101,37.9,15.4
"119","Z119",98.6,81.4,66.4,91.6,34.3,15
"120","Z120",100.3,81,66,90.2,34.5,15.2
"121","Z121",104.1,84.9,68.7,93.1,34.3,15
"122","Z122",101.7,85.4,68.3,94,34.3,15.4
"123","Z123",107.7,91.1,76.4,107,36.2,15.5
"124","Z124",98.8,85,66.6,98.7,38.2,15.9
"125","Z125",90.5,79,63,86.6,30.3,15
"126","Z126",99.8,88.4,72.1,95.6,37.1,14.3
"127","Z127",101.2,87.6,67.9,93.5,36.3,15.2
"128","Z128",93.5,79.5,66.5,94,35,14.5
"129","Z129",105,87.6,68.6,95.8,34,15.5
"130","Z130",92.7,74.5,59.5,78.8,29.6,13.8
"131","Z131",100.8,84.7,65,94.7,34.8,15.3
"132","Z132",94.6,80.2,60.7,89.9,32.2,14.6
"133","Z133",95.7,80.8,64.8,92,35.2,14.4
"134","Z134",99.5,81.5,68,92.3,35.3,15.6
"135","Z135",96.4,82.5,67.1,90.4,36.6,15.3
"136","Z136",98.7,88.1,65.3,95.3,35.4,15.7
"137","Z137",103.5,86.1,72,103.9,37.9,14.5
"138","Z138",103.7,90.9,78.7,101.5,36.7,15.6
"139","Z139",97.7,83.7,68.6,94.2,35.9,14.6
"140","Z140",99.7,84.2,62.4,90.4,31,14.7
"141","Z141",98.7,83.9,68,88,35.3,14.6
"142","Z142",88.7,76.7,62,80.9,30.4,13.2
"143","Z143",99.3,86.4,70.2,97.8,36.3,15.3
"144","Z144",102.5,84.3,69.2,93,33.1,15.1
"145","Z145",98.9,93,80.5,107.2,38.2,16.3
"146","Z146",96,81,67.8,92.9,30,14.3
"147","Z147",95,80,66,92,34.8,14.4
"148","Z148",97.1,81.7,70,96,36,15
"149","Z149",105,89,71.2,93.5,37.5,15.7
"150","Z150",95.5,88.2,73.1,94.9,35.7,15.1
"151","Z151",107.1,90.9,72.2,98.6,36.6,15.5
"152","Z152",101.5,88,67.5,96.5,33.5,16
"153","Z153",91,81.2,62.7,90,32.9,13.8
"154","Z154",127.1,106.9,96.2,128.3,45.4,17.8
"155","Z155",100.2,94.1,79.6,104.3,37.9,16.4
"156","Z156",96.1,82.1,66.9,91.6,35.2,15.2
"157","Z157",103.8,85.3,63.7,96.3,34.1,15
"158","Z158",104,89.5,74,101,38.6,17
"159","Z159",115.2,105.2,88.2,107.9,38.4,16.4
"160","Z160",94.7,86.7,74.7,100,34,14.2
"161","Z161",115.6,109,94.2,103.5,35.5,15
"162","Z162",99.1,90.8,77.9,96.3,36.6,15.4
