"","model","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16"
"1","Alfa Romeo MiTo",14450,1368,58,165,12.3,7.7,4.8,5.9,138,1155,4063,1720,1453,2511,405,270
"2","Alfa Romeo 147",16400,1598,77,185,11.3,11.3,6.4,8.2,196,1285,4223,1729,1442,2546,425,292
"3","Alfa Romeo 159",24900,1796,103,208,10.2,10.3,6,7.6,179,1460,4660,1828,1422,2700,475,405
"4","Alfa Romeo 159 Sportwagon",26250,1796,103,206,10.4,10.7,6.1,7.8,183,1510,4660,1828,1422,2700,475,445
"5","Audi A3",20800,1595,75,185,11.8,9.5,5.3,6.8,162,1260,4238,1765,1421,2578,485,350
"6","Audi A3 Sportback",21700,1595,75,185,12.1,9.5,5.4,6.9,164,1300,4292,1765,1423,2578,485,370
"7","Audi A4",26700,1798,88,208,10.5,9.5,5.6,7.1,164,1485,4703,1826,1427,2808,475,480
"8","Audi A4 Avant",28350,1798,88,200,10.8,9.6,5.8,7.2,169,1545,4703,1826,1436,2808,495,490
"9","Audi A5 Sportback",33650,1984,132,233,8.1,8.4,5.4,6.5,152,1575,4711,1854,1391,2810,455,480
"10","Audi A6",34950,1984,125,228,8.2,10.2,5.9,7.5,174,1595,4927,1855,1459,2843,505,546
"11","Audi A6 Avant",37200,1984,125,224,8.5,10.2,5.9,7.5,174,1665,4927,1855,1463,2843,555,565
"12","BMW 1",22100,1995,90,204,9.8,7.9,5.1,6.1,143,1320,4239,1748,1421,2660,425,330
"13","BMW 3",28700,1995,105,210,9.1,8.1,5.3,6.3,146,1435,4531,1817,1421,2760,445,460
"14","BMW 3 touring",30350,1995,105,210,9.5,8.1,5.3,6.3,147,1505,4527,1817,1418,2760,465,460
"15","BMW 5",39700,1995,125,220,9,9.4,5.6,6.9,166,1635,4843,1846,1491,2886,525,500
"16","BMW X3",35600,1995,110,198,11.5,12.6,6.9,9,215,1730,4569,1853,1674,2795,470,480
"17","BMW X1",27200,1995,110,202,9.7,11.3,6.4,8.2,191,1505,4454,1798,1545,2760,485,420
"18","Citroen C1",9390,998,50,157,13.7,5.5,3.9,4.5,106,875,3435,1630,1470,2340,305,139
"19","Citroen C3",12700,1124,44,155,18.3,7.9,4.9,5.9,137,1085,3941,1728,1524,2466,442,300
"20","Citroen C3 Picasso",15150,1397,70,178,13.9,9.2,5.6,6.9,159,1322,4078,1766,1631,2540,420,385
"21","Citroen C4",18200,1360,65,182,14.2,8.7,5.2,6.4,153,1257,4260,1773,1458,2608,445,320
"22","Citroen C4 Picasso",21350,1598,88,186,13.3,10,5.9,7.4,174,1533,4468,1831,1665,2728,482,500
"23","Citroen C5",22640,1749,92,200,12.2,10.8,6.2,7.9,188,1585,4779,1860,1458,2815,430,467
"24","Citroen C8",29210,1997,103,188,12.8,12,7.3,9,213,1706,4726,1854,1752,2823,699,225
"25","Fiat 500",11200,1242,51,160,12.9,6.4,4.3,5.1,119,940,3546,1627,1488,2300,365,185
"26","Fiat Panda",9690,1108,40,152,15,6.6,4.1,5,119,915,3538,1589,1540,2299,340,206
"27","Fiat Grande Punto",9990,1242,48,155,14.5,7.3,4.8,5.7,135,1090,4030,1687,1490,2510,405,275
"28","Fiat Linea",13700,1368,57,165,14.6,8.2,5.1,6.3,148,1235,4560,1730,1494,2603,425,500
"29","Fiat Bravo",15950,1368,66,179,12.5,8.1,5.2,6.3,149,1280,4336,1792,1498,2600,435,400
"30","Ford Ka",10550,1242,51,159,13.1,6.3,4.4,5.1,119,1015,3620,1894,1506,2300,305,224
"31","Ford Fiesta",12300,1242,44,152,16.9,7.3,4.4,5.5,127,1041,3950,1722,1481,2489,449,295
"32","Ford Fusion",13590,1242,55,159,15.5,8.6,5.1,6.4,152,1157,4018,1720,1498,2486,448,337
"33","Ford Focus",15550,1388,59,164,14.1,8.7,5.4,6.6,157,1229,4337,1839,1497,2640,461,396
"34","Ford Focus Turnier",17050,1388,59,164,14.4,8.7,5.4,6.6,157,1277,4494,1839,1503,2640,473,503
"35","Ford C-MAX",21025,1596,74,175,12.9,8.9,5.7,6.9,164,1334,4372,1825,1601,2640,521,460
"36","Ford Mondeo",23800,1596,81,190,12.7,10,5.6,7.2,170,1435,4778,1886,1435,2850,615,540
"37","Ford S-MAX",28300,1999,107,197,10.9,11.3,6.4,8.2,189,1605,4768,1884,1658,2850,735,285
"38","Ford Galaxy",30000,1999,107,194,11.2,11.3,6.4,8.2,189,1697,4820,1884,1764,2850,718,435
"39","Honda Jazz",12550,1198,66,177,12.6,6.5,4.5,5.3,125,1122,3900,1695,1525,2495,398,375
"40","Honda Civic",19790,1339,73,177,13,7.3,5,5.9,135,1246,4270,1785,1460,2620,444,456
"41","Honda Accord",24950,1997,115,215,9.4,9.6,5.9,7.3,168,1484,4725,1840,1440,2705,451,467
"42","Honda Accord",24950,1997,115,215,9.4,9.6,5.9,7.3,168,1484,4725,1840,1440,2705,451,467
